Latitude,Longitude,ZCategory
47.58875069,-122.3266384,INDUSTRIAL
47.66704662,-122.3604767,SINGLE FAMILY / DUPLEX
47.68668069,-122.3493813,SINGLE FAMILY / DUPLEX
47.61227955,-122.3451302,COMMERCIAL
47.70582053,-122.3457262,SINGLE FAMILY / DUPLEX
47.66846887,-122.3999713,SINGLE FAMILY / DUPLEX
47.67360861,-122.3779146,MULTIFAMILY
47.67479396,-122.3127853,SINGLE FAMILY / DUPLEX
47.69513877,-122.3098182,SINGLE FAMILY / DUPLEX
47.61185895,-122.3434107,COMMERCIAL
47.68792907,-122.3021723,SINGLE FAMILY / DUPLEX
47.52121566,-122.3537019,SINGLE FAMILY / DUPLEX
47.62234951,-122.3196399,SINGLE FAMILY / DUPLEX
47.52336417,-122.2811102,SINGLE FAMILY / DUPLEX
47.57403508,-122.3364493,COMMERCIAL
47.5762653,-122.3816551,SINGLE FAMILY / DUPLEX
47.66256236,-122.3648458,INDUSTRIAL
47.63274736,-122.3115804,SINGLE FAMILY / DUPLEX
47.62406618,-122.3362047,COMMERCIAL
47.57903119,-122.299831,COMMERCIAL
47.67176167,-122.3301226,SINGLE FAMILY / DUPLEX
47.61376005,-122.29905,SINGLE FAMILY / DUPLEX
47.63212793,-122.3548905,SINGLE FAMILY / DUPLEX
47.54700382,-122.3530885,COMMERCIAL
47.63581576,-122.3647849,
47.73042597,-122.3069522,SINGLE FAMILY / DUPLEX
47.54480773,-122.3890316,SINGLE FAMILY / DUPLEX
47.67381703,-122.2832521,SINGLE FAMILY / DUPLEX
47.70828728,-122.3040116,SINGLE FAMILY / DUPLEX
47.60289375,-122.2853244,SINGLE FAMILY / DUPLEX
47.52867949,-122.391247,
47.56432742,-122.3978724,SINGLE FAMILY / DUPLEX
47.63861329,-122.3911124,
47.6309693,-122.3089317,SINGLE FAMILY / DUPLEX
47.67140957,-122.2535588,
47.66827384,-122.4000771,SINGLE FAMILY / DUPLEX
47.6244325,-122.3273551,SINGLE FAMILY / DUPLEX
47.54923685,-122.3244795,INDUSTRIAL
47.62416585,-122.3094951,MULTIFAMILY
47.61151594,-122.303026,SINGLE FAMILY / DUPLEX
47.64100632,-122.3887027,SINGLE FAMILY / DUPLEX
47.60549679,-122.3332089,COMMERCIAL
47.576744,-122.3805726,SINGLE FAMILY / DUPLEX
47.53273666,-122.3816955,SINGLE FAMILY / DUPLEX
47.65179472,-122.2796042,SINGLE FAMILY / DUPLEX
47.54941467,-122.3922005,SINGLE FAMILY / DUPLEX
47.6581845,-122.2756439,SINGLE FAMILY / DUPLEX
47.68499036,-122.2945068,SINGLE FAMILY / DUPLEX
47.55556112,-122.3207505,COMMERCIAL
47.67207411,-122.3801591,SINGLE FAMILY / DUPLEX
47.59608631,-122.3114199,COMMERCIAL
47.51016262,-122.242731,SINGLE FAMILY / DUPLEX
47.65095304,-122.370512,SINGLE FAMILY / DUPLEX
47.66827535,-122.3998493,SINGLE FAMILY / DUPLEX
47.67582731,-122.3696236,SINGLE FAMILY / DUPLEX
47.65621943,-122.3623922,COMMERCIAL
47.61268741,-122.3130205,SINGLE FAMILY / DUPLEX
47.60294643,-122.3155433,COMMERCIAL
47.60336036,-122.3149776,COMMERCIAL
47.60315941,-122.3153166,COMMERCIAL
47.60332475,-122.315405,COMMERCIAL
